Salon ID,Salon Name,Area,Rating,Reviews,Price Category,Services,Timing,Contact
128,Trendy Salon 128,Sinhagad Road,4.4,735,Low,"Facial, Cleanup, Waxing, Threading",8AM to 11PM,9407460674
129,Aura Makeover 129,Camp,4.7,799,Low,"Hair Coloring, Highlights, Hair Spa",9AM to 9PM,9991972975
130,Royal Lounge 130,Magarpatta,3.6,246,High,"Hair Coloring, Highlights, Hair Spa",10AM to 9PM,9696875168
131,Aura Lounge 131,Hadapsar,4,1429,High,"Bridal Makeup, Hair Styling, Skincare",8AM to 10PM,9147061291
132,Urban Salon 132,Sinhagad Road,4.6,1040,Medium,"Haircut, Styling, Facial, Manicure, Pedicure",10AM to 8PM,9879496368
133,Elite Makeover 133,Viman Nagar,4.8,150,Medium,"Haircut, Beard Trim, Cleanup",9AM to 11PM,9841223804
134,Style Studio 134,Viman Nagar,3.6,1054,Low,"Haircut, Beard Trim, Cleanup",10AM to 8PM,9942440765
135,Style Salon 135,Hadapsar,4.2,1496,Low,"Haircut, Styling, Facial, Manicure, Pedicure",8AM to 8PM,9706658391
136,Trendy Studio 136,Wakad,4.4,1061,High,"Hair Spa, Coloring, Keratin, Smoothening",8AM to 10PM,9365015434
137,Royal Studio 137,Aundh,4.8,1210,High,"Haircut, Styling, Facial, Manicure, Pedicure",11AM to 10PM,9904110378
138,Style Studio 138,Kothrud,4.4,1143,Medium,"Hair Spa, Coloring, Keratin, Smoothening",10AM to 9PM,9253913855
139,Urban Studio 139,FC Road,4.2,862,Low,"Haircut, Beard Trim, Cleanup",8AM to 9PM,9701180179
140,Royal Studio 140,Wakad,4.7,393,Low,"Hair Coloring, Highlights, Hair Spa",10AM to 8PM,9851229710
141,Urban Studio 141,Koregaon Park,4.8,1228,Low,"Haircut, Styling, Facial, Manicure, Pedicure",9AM to 9PM,9281511256
142,Trendy Salon 142,Kothrud,4.1,1282,Low,"Hair Coloring, Highlights, Hair Spa",8AM to 11PM,9400133793
143,Style Makeover 143,Baner,3.5,572,High,"Hair Spa, Coloring, Keratin, Smoothening",10AM to 9PM,9644035165
144,Urban Salon 144,Aundh,4.6,100,Low,"Bridal Makeup, Hair Styling, Skincare",11AM to 11PM,9128406249
145,Trendy Salon 145,Hinjewadi,4.8,709,Low,"Hair Coloring, Highlights, Hair Spa",9AM to 9PM,9313775628
146,Aura Salon 146,Hadapsar,3.9,1139,Low,"Bridal Makeup, Hair Styling, Skincare",10AM to 8PM,9819640018
147,Style Salon 147,Viman Nagar,4.2,1008,High,"Facial, Cleanup, Waxing, Threading",11AM to 11PM,9807567926
148,Elite Lounge 148,Koregaon Park,4.5,303,Low,"Haircut, Beard Trim, Cleanup",10AM to 9PM,9849621926
149,Trendy Makeover 149,Karve Nagar,3.7,1491,Low,"Hair Coloring, Highlights, Hair Spa",8AM to 11PM,9697768765
150,Luxury Lounge 150,Sinhagad Road,3.9,531,High,"Haircut, Styling, Facial, Manicure, Pedicure",9AM to 8PM,9150255853
151,Glow Lounge 151,Hinjewadi,4.8,1303,Low,"Hair Spa, Coloring, Keratin, Smoothening",10AM to 9PM,9404269348
152,Urban Makeover 152,Camp,4.3,1226,High,"Facial, Cleanup, Waxing, Threading",9AM to 8PM,9816324738
153,Royal Studio 153,FC Road,4.8,935,Medium,"Bridal Makeup, Hair Styling, Skincare",8AM to 10PM,9574018281
154,Royal Studio 154,Karve Nagar,4.5,597,High,"Haircut, Styling, Facial, Manicure, Pedicure",9AM to 9PM,9364209056
155,Urban Studio 155,Aundh,4.1,1123,Low,"Haircut, Beard Trim, Cleanup",9AM to 11PM,9455887444
156,Style Salon 156,Hinjewadi,4.5,1198,Low,"Facial, Cleanup, Waxing, Threading",8AM to 8PM,9424307531
157,Royal Salon 157,Hadapsar,3.8,532,Low,"Bridal Makeup, Hair Styling, Skincare",8AM to 10PM,9417161585
158,Urban Lounge 158,Hadapsar,4.3,1013,Low,"Haircut, Styling, Facial, Manicure, Pedicure",10AM to 8PM,9834493517
159,Style Lounge 159,Hinjewadi,4.3,300,Medium,"Bridal Makeup, Hair Styling, Skincare",11AM to 8PM,9887716208
160,Urban Studio 160,Pimple Saudagar,3.8,509,High,"Haircut, Beard Trim, Cleanup",10AM to 8PM,9423623532
161,Urban Lounge 161,Camp,4.8,62,High,"Hair Coloring, Highlights, Hair Spa",9AM to 8PM,9270785799
162,Glow Studio 162,Wakad,4.5,1284,Medium,"Facial, Cleanup, Waxing, Threading",9AM to 8PM,9280733358
163,Urban Makeover 163,Karve Nagar,4.7,148,High,"Haircut, Styling, Facial, Manicure, Pedicure",8AM to 8PM,9351223029
164,Aura Salon 164,Hadapsar,3.7,76,Low,"Facial, Cleanup, Waxing, Threading",10AM to 11PM,9183791520
165,Style Studio 165,Wakad,4,322,Medium,"Facial, Cleanup, Waxing, Threading",8AM to 9PM,9564877527
166,Style Salon 166,Shivaji Nagar,3.6,1063,Low,"Haircut, Styling, Facial, Manicure, Pedicure",9AM to 9PM,9316459806
167,Glow Salon 167,Shivaji Nagar,4,311,Medium,"Facial, Cleanup, Waxing, Threading",11AM to 8PM,9503121325
168,Glow Salon 168,Karve Nagar,4.6,1151,Medium,"Hair Coloring, Highlights, Hair Spa",11AM to 8PM,9151556972
169,Trendy Makeover 169,Kothrud,4.7,475,High,"Haircut, Beard Trim, Cleanup",9AM to 10PM,9879027703
170,Urban Lounge 170,Koregaon Park,4.5,1402,Low,"Haircut, Beard Trim, Cleanup",11AM to 8PM,9365803509
171,Aura Studio 171,Karve Nagar,4.9,1414,Medium,"Facial, Cleanup, Waxing, Threading",10AM to 9PM,9822939091
172,Aura Lounge 172,Shivaji Nagar,3.5,1355,Medium,"Haircut, Beard Trim, Cleanup",8AM to 10PM,9818446168
173,Aura Studio 173,Aundh,4.6,1042,High,"Haircut, Styling, Facial, Manicure, Pedicure",9AM to 8PM,9745601921
174,Aura Studio 174,Magarpatta,4,191,Low,"Hair Coloring, Highlights, Hair Spa",8AM to 10PM,9921692097
175,Luxury Studio 175,Karve Nagar,4.4,1178,Low,"Haircut, Beard Trim, Cleanup",10AM to 9PM,9950481414
176,Royal Salon 176,Hadapsar,4.6,577,High,"Haircut, Beard Trim, Cleanup",8AM to 10PM,9820817181
177,Style Makeover 177,Wakad,3.9,1347,Low,"Hair Coloring, Highlights, Hair Spa",11AM to 9PM,9286495355
178,Glow Lounge 178,Koregaon Park,4.7,752,Low,"Hair Coloring, Highlights, Hair Spa",8AM to 9PM,9445892555
179,Glow Makeover 179,Magarpatta,4.1,281,High,"Bridal Makeup, Hair Styling, Skincare",8AM to 8PM,9446889140
180,Aura Lounge 180,Koregaon Park,3.8,260,High,"Haircut, Beard Trim, Cleanup",10AM to 8PM,9764246911
181,Trendy Makeover 181,Koregaon Park,4.2,742,High,"Hair Coloring, Highlights, Hair Spa",10AM to 11PM,9551437985
182,Royal Salon 182,Pimple Saudagar,4.6,1263,Low,"Bridal Makeup, Hair Styling, Skincare",8AM to 9PM,9213773676
183,Aura Salon 183,Shivaji Nagar,4,726,High,"Facial, Cleanup, Waxing, Threading",10AM to 10PM,9170924799
184,Luxury Studio 184,Aundh,4.5,882,Medium,"Haircut, Styling, Facial, Manicure, Pedicure",11AM to 11PM,9781531619
185,Trendy Studio 185,Pimple Saudagar,5,1384,Medium,"Haircut, Styling, Facial, Manicure, Pedicure",8AM to 10PM,9121309845
186,Royal Makeover 186,FC Road,3.8,115,Low,"Hair Spa, Coloring, Keratin, Smoothening",10AM to 9PM,9673881610
187,Royal Makeover 187,Viman Nagar,3.9,677,Low,"Haircut, Beard Trim, Cleanup",9AM to 11PM,9984520454
188,Aura Studio 188,Baner,4.7,219,Medium,"Facial, Cleanup, Waxing, Threading",8AM to 8PM,9757708253
189,Trendy Lounge 189,Koregaon Park,5,1314,Low,"Bridal Makeup, Hair Styling, Skincare",9AM to 9PM,9416351716
190,Royal Salon 190,Wakad,4.9,80,Medium,"Hair Coloring, Highlights, Hair Spa",10AM to 11PM,9398019961
191,Royal Salon 191,Wakad,4.4,234,Medium,"Bridal Makeup, Hair Styling, Skincare",9AM to 11PM,9685300085
192,Elite Makeover 192,Baner,4.4,1070,Low,"Facial, Cleanup, Waxing, Threading",8AM to 11PM,9950735605
193,Aura Salon 193,Sinhagad Road,4.8,1356,Medium,"Bridal Makeup, Hair Styling, Skincare",10AM to 9PM,9851146523
194,Aura Lounge 194,Aundh,3.7,64,Low,"Haircut, Beard Trim, Cleanup",9AM to 9PM,9202338749
195,Luxury Makeover 195,Magarpatta,4.3,529,Low,"Hair Coloring, Highlights, Hair Spa",10AM to 10PM,9932693696
196,Glow Salon 196,Koregaon Park,4.3,1175,High,"Haircut, Styling, Facial, Manicure, Pedicure",11AM to 10PM,9892878239
197,Glow Lounge 197,Baner,4.1,376,Low,"Facial, Cleanup, Waxing, Threading",9AM to 10PM,9135914642
198,Urban Lounge 198,Camp,4.6,413,Medium,"Haircut, Beard Trim, Cleanup",11AM to 8PM,9833851398
199,Trendy Lounge 199,FC Road,3.9,917,Low,"Hair Spa, Coloring, Keratin, Smoothening",10AM to 10PM,9194544964
200,Royal Makeover 200,Sinhagad Road,4.6,249,High,"Hair Spa, Coloring, Keratin, Smoothening",9AM to 11PM,9600926831
201,Luxury Studio 201,Sinhagad Road,3.8,717,Low,"Bridal Makeup, Hair Styling, Skincare",11AM to 11PM,9831227279
202,Aura Makeover 202,Baner,4.3,765,Medium,"Haircut, Beard Trim, Cleanup",11AM to 10PM,9393162545
203,Aura Studio 203,FC Road,4,69,Medium,"Haircut, Beard Trim, Cleanup",8AM to 9PM,9617095419
204,Luxury Makeover 204,FC Road,4.8,1033,Low,"Hair Coloring, Highlights, Hair Spa",11AM to 9PM,9815837823
205,Royal Studio 205,Hinjewadi,3.7,109,Medium,"Haircut, Beard Trim, Cleanup",11AM to 10PM,9851871443
206,Luxury Lounge 206,Shivaji Nagar,4.5,1079,High,"Hair Coloring, Highlights, Hair Spa",9AM to 8PM,9205968150
207,Aura Studio 207,Sinhagad Road,5,600,High,"Haircut, Styling, Facial, Manicure, Pedicure",9AM to 10PM,9210467794
208,Style Salon 208,Hadapsar,4.7,623,Low,"Haircut, Beard Trim, Cleanup",8AM to 11PM,9103553152
209,Urban Salon 209,Wakad,3.7,224,Medium,"Bridal Makeup, Hair Styling, Skincare",11AM to 10PM,9760038363
210,Royal Studio 210,Aundh,4.5,401,High,"Haircut, Beard Trim, Cleanup",9AM to 8PM,9913135627
211,Luxury Salon 211,Kothrud,4.4,1427,High,"Haircut, Beard Trim, Cleanup",9AM to 10PM,9853281334
212,Royal Studio 212,Magarpatta,4.3,1292,High,"Haircut, Beard Trim, Cleanup",9AM to 8PM,9381356975
213,Trendy Makeover 213,Camp,3.6,1382,Medium,"Hair Spa, Coloring, Keratin, Smoothening",10AM to 10PM,9174840087
214,Royal Lounge 214,Baner,4.9,779,Low,"Haircut, Styling, Facial, Manicure, Pedicure",8AM to 8PM,9599171655
215,Royal Makeover 215,Pimple Saudagar,3.7,648,Low,"Hair Spa, Coloring, Keratin, Smoothening",10AM to 9PM,9388967922
216,Elite Studio 216,Camp,4.8,1155,Low,"Facial, Cleanup, Waxing, Threading",11AM to 8PM,9926864434
217,Royal Makeover 217,Magarpatta,4.9,152,High,"Hair Coloring, Highlights, Hair Spa",9AM to 8PM,9350198684
218,Royal Salon 218,Pimple Saudagar,4,490,Medium,"Haircut, Styling, Facial, Manicure, Pedicure",10AM to 8PM,9121374730
219,Urban Salon 219,Sinhagad Road,4.1,532,High,"Haircut, Beard Trim, Cleanup",9AM to 8PM,9408740157
220,Trendy Makeover 220,Sinhagad Road,4.4,764,Low,"Facial, Cleanup, Waxing, Threading",8AM to 10PM,9840564901
221,Urban Lounge 221,Camp,4.7,1149,Medium,"Bridal Makeup, Hair Styling, Skincare",10AM to 11PM,9464440789
222,Elite Studio 222,FC Road,5,324,Medium,"Bridal Makeup, Hair Styling, Skincare",9AM to 9PM,9651300394
223,Aura Studio 223,Magarpatta,3.6,576,Low,"Hair Coloring, Highlights, Hair Spa",9AM to 8PM,9190915194
224,Elite Lounge 224,Kothrud,3.9,1089,Low,"Haircut, Styling, Facial, Manicure, Pedicure",9AM to 10PM,9852408751
225,Elite Makeover 225,Karve Nagar,4,390,High,"Haircut, Styling, Facial, Manicure, Pedicure",9AM to 9PM,9869651319
226,Urban Studio 226,Camp,4.7,849,High,"Facial, Cleanup, Waxing, Threading",11AM to 8PM,9426929191
227,Urban Studio 227,Wakad,3.9,622,Medium,"Bridal Makeup, Hair Styling, Skincare",11AM to 10PM,9311033831
228,Style Makeover 228,Sinhagad Road,3.8,1155,Low,"Facial, Cleanup, Waxing, Threading",11AM to 11PM,9616012945
